Day Type,Hour,Direction,Station,Departure Time,Trains per Hour,Minutes Between Trains
saturday,4,0,Forest Hills,04:00,4,15.0
saturday,4,0,Forest Hills,04:15,4,15.0
saturday,4,0,Forest Hills,04:30,4,15.0
saturday,4,0,Forest Hills,04:45,4,15.0
saturday,4,1,Oak Grove,04:00,6,10.0
saturday,4,1,Oak Grove,04:10,6,10.0
saturday,4,1,Oak Grove,04:20,6,10.0
saturday,4,1,Oak Grove,04:30,6,10.0
saturday,4,1,Oak Grove,04:40,6,10.0
saturday,4,1,Oak Grove,04:50,6,10.0
saturday,5,0,Forest Hills,05:00,10,6.0
saturday,5,0,Forest Hills,05:06,10,6.0
saturday,5,0,Forest Hills,05:12,10,6.0
saturday,5,0,Forest Hills,05:18,10,6.0
saturday,5,0,Forest Hills,05:24,10,6.0
saturday,5,0,Forest Hills,05:30,10,6.0
saturday,5,0,Forest Hills,05:36,10,6.0
saturday,5,0,Forest Hills,05:42,10,6.0
saturday,5,0,Forest Hills,05:48,10,6.0
saturday,5,0,Forest Hills,05:54,10,6.0
saturday,5,1,Oak Grove,05:00,6,10.0
saturday,5,1,Oak Grove,05:10,6,10.0
saturday,5,1,Oak Grove,05:20,6,10.0
saturday,5,1,Oak Grove,05:30,6,10.0
saturday,5,1,Oak Grove,05:40,6,10.0
saturday,5,1,Oak Grove,05:50,6,10.0
saturday,6,0,Forest Hills,06:00,7,8.6
saturday,6,0,Forest Hills,06:08,7,8.6
saturday,6,0,Forest Hills,06:17,7,8.6
saturday,6,0,Forest Hills,06:25,7,8.6
saturday,6,0,Forest Hills,06:34,7,8.6
saturday,6,0,Forest Hills,06:42,7,8.6
saturday,6,0,Forest Hills,06:51,7,8.6
saturday,6,1,Oak Grove,06:00,6,10.0
saturday,6,1,Oak Grove,06:10,6,10.0
saturday,6,1,Oak Grove,06:20,6,10.0
saturday,6,1,Oak Grove,06:30,6,10.0
saturday,6,1,Oak Grove,06:40,6,10.0
saturday,6,1,Oak Grove,06:50,6,10.0
saturday,7,0,Forest Hills,07:00,8,7.5
saturday,7,0,Forest Hills,07:07,8,7.5
saturday,7,0,Forest Hills,07:15,8,7.5
saturday,7,0,Forest Hills,07:22,8,7.5
saturday,7,0,Forest Hills,07:30,8,7.5
saturday,7,0,Forest Hills,07:37,8,7.5
saturday,7,0,Forest Hills,07:45,8,7.5
saturday,7,0,Forest Hills,07:52,8,7.5
saturday,7,1,Oak Grove,07:00,8,7.5
saturday,7,1,Oak Grove,07:07,8,7.5
saturday,7,1,Oak Grove,07:15,8,7.5
saturday,7,1,Oak Grove,07:22,8,7.5
saturday,7,1,Oak Grove,07:30,8,7.5
saturday,7,1,Oak Grove,07:37,8,7.5
saturday,7,1,Oak Grove,07:45,8,7.5
saturday,7,1,Oak Grove,07:52,8,7.5
saturday,8,0,Forest Hills,08:00,3,20.0
saturday,8,0,Forest Hills,08:20,3,20.0
saturday,8,0,Forest Hills,08:40,3,20.0
saturday,8,1,Oak Grove,08:00,9,6.7
saturday,8,1,Oak Grove,08:06,9,6.7
saturday,8,1,Oak Grove,08:13,9,6.7
saturday,8,1,Oak Grove,08:20,9,6.7
saturday,8,1,Oak Grove,08:26,9,6.7
saturday,8,1,Oak Grove,08:33,9,6.7
saturday,8,1,Oak Grove,08:40,9,6.7
saturday,8,1,Oak Grove,08:46,9,6.7
saturday,8,1,Oak Grove,08:53,9,6.7
saturday,9,0,Forest Hills,09:00,10,6.0
saturday,9,0,Forest Hills,09:06,10,6.0
saturday,9,0,Forest Hills,09:12,10,6.0
saturday,9,0,Forest Hills,09:18,10,6.0
saturday,9,0,Forest Hills,09:24,10,6.0
saturday,9,0,Forest Hills,09:30,10,6.0
saturday,9,0,Forest Hills,09:36,10,6.0
saturday,9,0,Forest Hills,09:42,10,6.0
saturday,9,0,Forest Hills,09:48,10,6.0
saturday,9,0,Forest Hills,09:54,10,6.0
saturday,9,1,Oak Grove,09:00,9,6.7
saturday,9,1,Oak Grove,09:06,9,6.7
saturday,9,1,Oak Grove,09:13,9,6.7
saturday,9,1,Oak Grove,09:20,9,6.7
saturday,9,1,Oak Grove,09:26,9,6.7
saturday,9,1,Oak Grove,09:33,9,6.7
saturday,9,1,Oak Grove,09:40,9,6.7
saturday,9,1,Oak Grove,09:46,9,6.7
saturday,9,1,Oak Grove,09:53,9,6.7
saturday,10,0,Forest Hills,10:00,3,20.0
saturday,10,0,Forest Hills,10:20,3,20.0
saturday,10,0,Forest Hills,10:40,3,20.0
saturday,10,1,Oak Grove,10:00,6,10.0
saturday,10,1,Oak Grove,10:10,6,10.0
saturday,10,1,Oak Grove,10:20,6,10.0
saturday,10,1,Oak Grove,10:30,6,10.0
saturday,10,1,Oak Grove,10:40,6,10.0
saturday,10,1,Oak Grove,10:50,6,10.0
saturday,11,0,Forest Hills,11:00,7,8.6
saturday,11,0,Forest Hills,11:08,7,8.6
saturday,11,0,Forest Hills,11:17,7,8.6
saturday,11,0,Forest Hills,11:25,7,8.6
saturday,11,0,Forest Hills,11:34,7,8.6
saturday,11,0,Forest Hills,11:42,7,8.6
saturday,11,0,Forest Hills,11:51,7,8.6
saturday,11,1,Oak Grove,11:00,3,20.0
saturday,11,1,Oak Grove,11:20,3,20.0
saturday,11,1,Oak Grove,11:40,3,20.0
saturday,12,0,Forest Hills,12:00,9,6.7
saturday,12,0,Forest Hills,12:06,9,6.7
saturday,12,0,Forest Hills,12:13,9,6.7
saturday,12,0,Forest Hills,12:20,9,6.7
saturday,12,0,Forest Hills,12:26,9,6.7
saturday,12,0,Forest Hills,12:33,9,6.7
saturday,12,0,Forest Hills,12:40,9,6.7
saturday,12,0,Forest Hills,12:46,9,6.7
saturday,12,0,Forest Hills,12:53,9,6.7
saturday,12,1,Oak Grove,12:00,6,10.0
saturday,12,1,Oak Grove,12:10,6,10.0
saturday,12,1,Oak Grove,12:20,6,10.0
saturday,12,1,Oak Grove,12:30,6,10.0
saturday,12,1,Oak Grove,12:40,6,10.0
saturday,12,1,Oak Grove,12:50,6,10.0
saturday,13,0,Forest Hills,13:00,4,15.0
saturday,13,0,Forest Hills,13:15,4,15.0
saturday,13,0,Forest Hills,13:30,4,15.0
saturday,13,0,Forest Hills,13:45,4,15.0
saturday,13,1,Oak Grove,13:00,7,8.6
saturday,13,1,Oak Grove,13:08,7,8.6
saturday,13,1,Oak Grove,13:17,7,8.6
saturday,13,1,Oak Grove,13:25,7,8.6
saturday,13,1,Oak Grove,13:34,7,8.6
saturday,13,1,Oak Grove,13:42,7,8.6
saturday,13,1,Oak Grove,13:51,7,8.6
saturday,14,0,Forest Hills,14:00,4,15.0
saturday,14,0,Forest Hills,14:15,4,15.0
saturday,14,0,Forest Hills,14:30,4,15.0
saturday,14,0,Forest Hills,14:45,4,15.0
saturday,14,1,Oak Grove,14:00,3,20.0
saturday,14,1,Oak Grove,14:20,3,20.0
saturday,14,1,Oak Grove,14:40,3,20.0
saturday,15,0,Forest Hills,15:00,6,10.0
saturday,15,0,Forest Hills,15:10,6,10.0
saturday,15,0,Forest Hills,15:20,6,10.0
saturday,15,0,Forest Hills,15:30,6,10.0
saturday,15,0,Forest Hills,15:40,6,10.0
saturday,15,0,Forest Hills,15:50,6,10.0
saturday,15,1,Oak Grove,15:00,5,12.0
saturday,15,1,Oak Grove,15:12,5,12.0
saturday,15,1,Oak Grove,15:24,5,12.0
saturday,15,1,Oak Grove,15:36,5,12.0
saturday,15,1,Oak Grove,15:48,5,12.0
saturday,16,0,Forest Hills,16:00,7,8.6
saturday,16,0,Forest Hills,16:08,7,8.6
saturday,16,0,Forest Hills,16:17,7,8.6
saturday,16,0,Forest Hills,16:25,7,8.6
saturday,16,0,Forest Hills,16:34,7,8.6
saturday,16,0,Forest Hills,16:42,7,8.6
saturday,16,0,Forest Hills,16:51,7,8.6
saturday,16,1,Oak Grove,16:00,3,20.0
saturday,16,1,Oak Grove,16:20,3,20.0
saturday,16,1,Oak Grove,16:40,3,20.0
saturday,17,0,Forest Hills,17:00,8,7.5
saturday,17,0,Forest Hills,17:07,8,7.5
saturday,17,0,Forest Hills,17:15,8,7.5
saturday,17,0,Forest Hills,17:22,8,7.5
saturday,17,0,Forest Hills,17:30,8,7.5
saturday,17,0,Forest Hills,17:37,8,7.5
saturday,17,0,Forest Hills,17:45,8,7.5
saturday,17,0,Forest Hills,17:52,8,7.5
saturday,17,1,Oak Grove,17:00,5,12.0
saturday,17,1,Oak Grove,17:12,5,12.0
saturday,17,1,Oak Grove,17:24,5,12.0
saturday,17,1,Oak Grove,17:36,5,12.0
saturday,17,1,Oak Grove,17:48,5,12.0
saturday,18,0,Forest Hills,18:00,7,8.6
saturday,18,0,Forest Hills,18:08,7,8.6
saturday,18,0,Forest Hills,18:17,7,8.6
saturday,18,0,Forest Hills,18:25,7,8.6
saturday,18,0,Forest Hills,18:34,7,8.6
saturday,18,0,Forest Hills,18:42,7,8.6
saturday,18,0,Forest Hills,18:51,7,8.6
saturday,18,1,Oak Grove,18:00,8,7.5
saturday,18,1,Oak Grove,18:07,8,7.5
saturday,18,1,Oak Grove,18:15,8,7.5
saturday,18,1,Oak Grove,18:22,8,7.5
saturday,18,1,Oak Grove,18:30,8,7.5
saturday,18,1,Oak Grove,18:37,8,7.5
saturday,18,1,Oak Grove,18:45,8,7.5
saturday,18,1,Oak Grove,18:52,8,7.5
saturday,19,0,Forest Hills,19:00,7,8.6
saturday,19,0,Forest Hills,19:08,7,8.6
saturday,19,0,Forest Hills,19:17,7,8.6
saturday,19,0,Forest Hills,19:25,7,8.6
saturday,19,0,Forest Hills,19:34,7,8.6
saturday,19,0,Forest Hills,19:42,7,8.6
saturday,19,0,Forest Hills,19:51,7,8.6
saturday,19,1,Oak Grove,19:00,5,12.0
saturday,19,1,Oak Grove,19:12,5,12.0
saturday,19,1,Oak Grove,19:24,5,12.0
saturday,19,1,Oak Grove,19:36,5,12.0
saturday,19,1,Oak Grove,19:48,5,12.0
saturday,20,0,Forest Hills,20:00,3,20.0
saturday,20,0,Forest Hills,20:20,3,20.0
saturday,20,0,Forest Hills,20:40,3,20.0
saturday,20,1,Oak Grove,20:00,10,6.0
saturday,20,1,Oak Grove,20:06,10,6.0
saturday,20,1,Oak Grove,20:12,10,6.0
saturday,20,1,Oak Grove,20:18,10,6.0
saturday,20,1,Oak Grove,20:24,10,6.0
